,source,target,weight,intensity,lang_usage
5,2,39,1.0,5.0,4.0
6,2,19,0.2,5.0,4.0
7,2,28,0.4,4.0,5.0
9,2,6,0.8,4.0,3.0
10,3,32,1.0,3.0,5.0
11,3,26,0.2,3.0,8.0
12,3,25,0.4,2.0,4.0
13,3,35,0.6,2.0,6.0
14,3,27,0.8,2.0,8.0
15,4,31,1.0,3.0,3.0
16,4,15,0.2,0.0,7.0
18,4,29,0.6,4.0,4.0
19,4,17,0.8,5.0,5.0
23,5,12,0.6,5.0,7.0
25,6,2,1.0,5.0,3.0
28,6,39,0.6,5.0,5.0
29,6,19,0.8,5.0,5.0
30,7,21,1.0,5.0,3.0
32,7,37,0.4,4.0,6.0
33,7,33,0.6,4.0,6.0
35,8,1,1.0,5.0,3.0
37,8,30,0.6,5.0,3.0
38,8,14,0.8,1.0,7.0
40,9,10,0.2,5.0,3.0
44,10,24,1.0,5.0,3.0
58,14,1,1.0,4.0,4.0
59,14,2,0.2,3.0,3.0
60,14,28,0.4,2.0,4.0
61,14,8,0.6,4.0,4.0
62,14,30,0.8,4.0,4.0
68,16,36,1.0,3.0,3.0
69,16,11,0.6,2.0,4.0
70,16,28,0.8,3.0,4.0
76,19,29,1.0,5.0,4.0
80,19,39,0.8,5.0,3.0
81,20,21,1.0,5.0,3.0
83,20,7,0.8,5.0,3.0
84,21,7,1.0,5.0,4.0
85,21,40,0.6,5.0,5.0
87,22,5,1.0,5.0,4.0
89,22,26,0.4,5.0,4.0
91,22,12,0.8,5.0,4.0
101,25,40,1.0,5.0,6.0
103,25,3,0.6,4.0,6.0
104,25,27,0.8,5.0,3.0
108,26,5,0.8,5.0,3.0
114,28,37,1.0,4.0,5.0
115,28,31,0.2,3.0,5.0
116,28,16,0.4,4.0,4.0
117,28,35,0.6,4.0,6.0
118,28,2,0.8,4.0,4.0
136,33,37,1.0,4.0,4.0
140,33,7,0.8,3.0,4.0
144,34,29,0.6,5.0,3.0
151,36,16,1.0,5.0,4.0
152,36,11,0.4,4.0,6.0
153,36,18,0.6,4.0,5.0
155,37,2,1.0,5.0,3.0
157,37,28,0.4,3.0,3.0
158,37,33,0.6,5.0,5.0
159,37,39,0.8,5.0,4.0
160,38,34,1.0,5.0,4.0
162,38,9,0.8,5.0,4.0
163,39,19,1.0,5.0,6.0
165,39,2,0.4,5.0,5.0
166,39,6,0.6,5.0,5.0
167,39,29,0.8,4.0,3.0
168,40,25,1.0,5.0,5.0
171,40,26,0.6,4.0,8.0
