,source,target,weight,intensity,lang_usage
0,1,30,1.0,5.0,0.0
1,1,10,0.2,4.0,0.0
2,1,24,0.4,4.0,0.0
3,1,8,0.6,5.0,0.0
4,1,14,0.8,5.0,0.0
8,2,37,0.6,5.0,2.0
17,4,11,0.4,2.0,0.0
20,5,13,1.0,5.0,1.0
21,5,32,0.2,5.0,0.0
22,5,15,0.4,5.0,0.0
24,5,26,0.8,5.0,0.0
26,6,29,0.2,4.0,1.0
27,6,33,0.4,4.0,0.0
31,7,40,0.2,5.0,0.0
34,7,20,0.8,5.0,2.0
36,8,18,0.4,3.0,0.0
41,9,23,0.4,4.0,1.0
42,9,38,0.6,5.0,1.0
43,9,24,0.8,5.0,2.0
45,10,9,0.4,4.0,2.0
46,10,41,0.6,3.0,1.0
47,10,23,0.8,4.0,2.0
48,12,26,1.0,5.0,1.0
49,12,5,0.2,5.0,0.0
50,12,32,0.4,5.0,0.0
51,12,27,0.6,5.0,1.0
52,12,40,0.8,5.0,1.0
53,13,5,1.0,5.0,0.0
54,13,12,0.2,4.0,0.0
55,13,26,0.4,3.0,0.0
56,13,27,0.6,3.0,0.0
57,13,3,0.8,4.0,0.0
63,15,2,1.0,5.0,1.0
64,15,35,0.2,4.0,1.0
65,15,40,0.4,4.0,1.0
66,15,3,0.6,4.0,0.0
67,15,27,0.8,5.0,2.0
71,18,5,1.0,5.0,0.0
72,18,32,0.2,3.0,0.0
73,18,26,0.4,5.0,0.0
74,18,11,0.6,5.0,0.0
75,18,13,0.8,3.0,0.0
77,19,37,0.2,4.0,0.0
78,19,2,0.4,5.0,2.0
79,19,6,0.6,5.0,2.0
82,20,24,0.6,3.0,0.0
86,21,20,0.8,5.0,2.0
88,22,25,0.2,5.0,2.0
90,22,36,0.6,5.0,1.0
92,23,41,1.0,3.0,0.0
93,23,10,0.4,4.0,1.0
94,23,24,0.6,3.0,1.0
95,23,9,0.8,3.0,1.0
96,24,41,1.0,5.0,1.0
97,24,23,0.2,3.0,0.0
98,24,34,0.4,4.0,2.0
99,24,10,0.6,5.0,2.0
100,24,9,0.8,5.0,2.0
102,25,32,0.4,4.0,2.0
106,26,32,0.4,5.0,0.0
107,26,27,0.6,4.0,2.0
109,27,5,1.0,4.0,0.0
110,27,15,0.2,5.0,1.0
111,27,32,0.4,4.0,0.0
112,27,12,0.6,4.0,0.0
113,27,26,0.8,4.0,0.0
119,29,19,1.0,5.0,2.0
120,29,33,0.2,4.0,0.0
121,29,2,0.4,4.0,1.0
122,29,6,0.6,4.0,1.0
123,29,39,0.8,4.0,0.0
127,31,4,1.0,4.0,1.0
128,31,35,0.4,4.0,1.0
130,31,17,0.8,4.0,2.0
131,32,27,1.0,5.0,0.0
132,32,12,0.2,5.0,0.0
133,32,26,0.4,5.0,0.0
134,32,3,0.6,4.0,0.0
137,33,29,0.2,4.0,1.0
138,33,2,0.4,4.0,2.0
139,33,6,0.6,4.0,2.0
141,34,38,1.0,5.0,1.0
142,34,26,0.2,5.0,1.0
143,34,15,0.4,3.0,2.0
145,34,24,0.8,5.0,1.0
146,35,32,1.0,5.0,0.0
147,35,32,0.2,5.0,0.0
148,35,3,0.4,3.0,0.0
149,35,15,0.6,3.0,0.0
150,35,27,0.8,4.0,1.0
154,36,22,0.8,5.0,0.0
156,37,6,0.2,4.0,2.0
161,38,10,0.6,3.0,2.0
169,40,35,0.2,5.0,1.0
170,40,15,0.4,5.0,1.0
172,40,12,0.8,5.0,1.0
173,41,9,1.0,5.0,0.0
174,41,23,0.6,2.0,0.0
175,41,24,0.8,4.0,0.0
